id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
234456,7S8,CEF4,2914,100,GVL,0,1,4,51.25780106,-113.9400024,,60.3,,22,51.26190186,-113.9290009,,240.3,
234457,7S8,CEF4,2926,100,ASP,0,1,10,51.26580048,-113.9410019,,117.3,,28,51.26190186,-113.9290009,,297.3,
234458,7S8,CEF4,5000,100,ASP,1,0,12,51.26890182,-113.9420013,3653,137.5,,30,51.25880051,-113.927002,3650,317.5,1000
234459,7S8,CEF4,2918,100,GVL,0,1,16,51.2655983,-113.9400024,,179.3,,34,51.25780106,-113.9400024,,359.3,
576747,851,CEG3,3004,74,ASP,1,0,17,52.4925,-113.711998,,180,,35,52.4842,-113.711998,,360,
234849,852,CEG4,3505,75,ASP,1,0,17,51.5014,-112.749001,2597,180,,35,51.491901,-112.749001,2597,360,
246317,853,CEG5,3000,100,TURF,0,0,10,,,,,,28,,,,,
259650,854,CEG8,4737,,UNK,0,0,3,,,979,,,21,,,980,,
256718,855,CEH2,3014,300,TURF,0,0,7,,,,,,25,,,,,
256719,855,CEH2,2230,200,TURF,0,0,14,,,,,,32,,,,,
234758,856,CEH3,3097,75,ASP,1,0,16,52.65579987,-113.6060028,,178.9,,34,52.64720154,-113.6060028,,358.9,
234753,857,CEH4,3015,150,ASP,0,0,10,50.82419968,-113.8300018,,120,,28,50.81999969,-113.8190002,,300,
234754,857,CEH4,2931,150,ASP,0,0,16,50.8280983,-113.8190002,,16X,,34,50.81999969,-113.8190002,,359,
235053,858,CEH5,3542,75,ASP,1,0,13,56.549999,-115.279999,,143,,31,56.5425,-115.268997,,323,
234437,859,CEH6,5001,75,ASP,1,0,12,52.34270096,-110.2860031,2184,133.8,874,30,52.33340073,-110.2689972,2197,313.8,37S
234738,862,CEJ3,3000,75,ASP,1,0,7,52.30970001,-112.7610016,,88,200,25,52.31000137,-112.7470016,,25W,
234568,863,CEJ4,3100,100,ASP,1,0,3,50.00289917,-113.637001,,48,,21,50.00859833,-113.6269989,,21W,
234569,863,CEJ4,3100,100,ASP,0,1,9,50.00220108,-113.6360016,,108,,27,49.99969864,-113.6240005,,27W,
234570,863,CEJ4,3100,100,ASP,0,1,14,50.00830078,-113.6259995,,165,,32,50.00059891,-113.6230011,,345,
234439,865,CEJ6,4498,75,ASP,1,0,8,53.893101,-110.782997,,90,,26,53.892799,-110.762001,,270,
250775,7U8,CEK6,2952,75,ASPHALT,0,0,12,,,,0R2,,30,,,,312,
271081,46604,CEL3,2400,50,Turf / Gravel,0,0,11,,,,,,29,,,,,
234995,870,CEL4,1800,100,GRS,0,0,2,51.62919998,-111.901001,,39,,20,51.6330986,-111.8960037,,219,
234996,870,CEL4,3535,75,ASP,1,0,12,51.63470078,-111.9100037,,134,,30,51.62810135,-111.8990021,,314,
234997,870,CEL4,1418,60,GRS,0,0,15,51.63219833,-111.9000015,,0U9,,33,51.62860107,-111.8990021,,349,
234537,871,CEL5,3300,75,ASP,1,0,7,55.03219986,-117.3040009,,88,,25,55.03250122,-117.288002,,25W,
253098,872,CEL6,2900,75,ASPHALT,0,0,12,,,,,,30,,,,,
562103,46590,CEL8,3930,100,Gravel,0,0,9,,,750,90,,27,,,751,270,
234806,875,CEM4,3025,100,ASP,0,0,4,52.07920074,-114.0360031,3015,62,,22,52.08309937,-114.0240021,2992,242,
234807,875,CEM4,3025,100,ASP,0,0,10,52.0780983,-114.0360031,3015,118,,28,52.07419968,-114.0240021,3007,298,
234808,875,CEM4,3025,100,ASP,1,0,16,52.08280182,-114.0230026,3005,180,,34,52.07440186,-114.0230026,2992,360,
234769,876,CEM5,4500,100,ASP,1,0,10,54.67419815,-115.4229965,3473,0Q4,,28,54.66719818,-115.4059982,3473,304,
253810,877,CEN2,2950,75,ASPHALT,0,0,7,,,,,,25,,,,,
235059,878,CEN3,3000,75,ASP,1,0,12,51.6992,-113.213997,,0R2,,30,51.693901,-113.204002,,312,
234845,879,CEN4,4160,75,ASP,1,0,7,50.533726,-113.847336,3425,80,,25,50.535107,-113.834641,3429,260,
234846,879,CEN4,2726,55,GVL,0,0,15,50.536098,-113.837997,3412,159,,33,50.528599,-113.834,3447,339,
234712,880,CEN5,3000,75,ASP,1,0,8,54.477501,-110.276001,,90,,26,54.477501,-110.262001,,270,
250028,7W1,CEN6,2950,75,ASPHALT,0,0,5,,,,,,23,,,,,
234558,883,CEP3,3500,100,ASP,1,0,7,54.09999847,-114.4410019,,90,,25,54.09999847,-114.4250031,,270,
256738,885,CEP5,4500,100,GRAVEL,0,0,13,,,,,,31,,,,,
255287,886,CEP6,2952,75,ASPHALT,0,0,6,,,,,,24,,,,,
234994,888,CEQ3,4512,100,ASP,1,0,14,53.0425,-112.817001,2419,14S,200,32,53.031399,-112.807999,2421,334,
253817,889,CEQ4,4363,65,TURF,0,0,7,,,4335,,,25,,,4335,,
234781,891,CER2,3000,75,ASP,1,0,13,52.22029877,-111.9369965,,148,,31,52.21310043,-111.9300003,,31W,
234945,892,CER3,5066,75,ASP,1,0,14,53.27099991,-114.9629974,,0U1,761,32,53.25790024,-114.9550018,,341,344
256729,893,CER4,5437,100,TREATED GRAVEL,1,0,11,,,,,,29,,,,,
271082,46605,CES2,3000,75,Turf,0,0,2,,,,,,20,,,,,
247030,895,CES3,3200,75,GRAVEL,0,1,8,,,,,,26,,,,,
270953,895,CES3,86,86,GRAVEL,0,0,PAD,,,,,,PAD,,,,,
235006,896,CES4,3000,75,ASP,1,0,10,54.14419937,-113.7470016,,118,200,28,54.14030075,-113.7350006,,298,200
251528,898,CET2,5251,98,CLAY,0,0,9,,,1912,115,,27,,,1911,285,
271111,899,CET4,3000,100,Gravel/Snow,0,0,13,,,,153,1000,31,,,,2R3,1000
235096,901,CET9,2512,59,GVL,1,0,11,61.5186,-120.622002,,0Q9,,29,61.514702,-120.611,,309,
234803,902,CEU2,3000,75,ASP,1,0,7,55.18420029,-119.4550018,,90,,25,55.18420029,-119.4400024,,270,
253819,905,CEV2,3200,100,TURF,0,0,12,,,,,,30,,,,,
235030,906,CEV3,4000,100,ASP,1,0,13,53.51890182,-112.0319977,,147.7,,31,53.50970078,-112.0220032,,327.7,
256743,907,CEV5,2950,75,ASPHALT,0,0,12,,,,,,30,,,,,
234574,908,CEV7,3000,75,ASP,1,0,10,53.3730011,-112.7030029,,117,,28,53.36920166,-112.6910019,,297,
234733,910,CEW3,3500,100,ASP,1,0,8,53.99359894,-111.3880005,,95,,26,53.99280167,-111.3720016,,275,
